name,style,substyle,overall_rating
Hill Farmstead E.,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,99.41795021912631
Orval,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,99.2058123758887
Westvleteren Blond,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,98.93999927737498
De la Senne Bruxellensis Reserva,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,98.29782487855074
Dieu du Ciel! Dernière Volonté (Pinot Noir),Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,98.243969590382
De Ranke Hop Harvest 2019,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,96.98482194625215
De la Senne Bruxellensis,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,96.8170652724175
Allagash Confluence Ale,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,96.76093416716394
Allagash Sixteen Counties Ale (2016 - ),Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,96.59187996379197
Toccalmatto / Prairie Okie Matilde,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,96.53530252288353
Lost Abbey Saints Devotion,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,96.36486808180267
De Ranke XXX Bitter,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,96.13592036344679
Extraomnes Hopbloem,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,96.53530252288353
Mikkeller San Diego Første Fødselsdag (First Birthday),Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,96.19334470768855
Green Flash Rayon Vert,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,95.61315257558115
De Ranke Hop Harvest 2020,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,95.13880974358896
Holy Mountain The Third (3rd) Nail,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,95.43638830951552
De la Senne PinPon,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,95.90492876843723
De Ranke Hop Harvest 2018,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,94.83734404799263
Dieu du Ciel! Dernière Volonté,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,94.95840940947201
Tartaruga Super Fresca,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,94.83734404799263
Perennial Hommel Bier,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,94.77656714181975
Sante Adairius / Casita Cerveceria Summer Sapling,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,94.59324095975263
The Exchange Golden Ale,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,94.77656714181975
Ommegang Fleur De Houblon,Belgian-Style Ales,Belgian Ale - Pale / Golden / Single,94.53179529333786
